"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Досуг","Игры","13-мар.-2022 07:27","13-мар.-2022 07:27","капризы"
"Кормление","Правая Грудь","13-мар.-2022 06:24","13-мар.-2022 06:30",""
"Сон","","12-мар.-2022 18:44","13-мар.-2022 06:00",""
"Сон","","12-мар.-2022 14:57","12-мар.-2022 15:40","сам в кровати"
"Подгузники","Грязный","12-мар.-2022 14:27","12-мар.-2022 14:27",""
"Досуг","Игры","12-мар.-2022 14:27","12-мар.-2022 14:27","капризы"
"Подгузники","Грязный","12-мар.-2022 13:51","12-мар.-2022 13:51",""
"Кормление","Еда","12-мар.-2022 13:30","12-мар.-2022 13:30",""
"Кормление","Правая Грудь","12-мар.-2022 13:14","12-мар.-2022 13:14",""
"Кормление","Левая Грудь","12-мар.-2022 13:14","12-мар.-2022 13:14",""
"Сон","","12-мар.-2022 11:59","12-мар.-2022 12:56",""
"Досуг","Игры","12-мар.-2022 11:48","12-мар.-2022 13:14",""
"Сон","","12-мар.-2022 11:28","12-мар.-2022 11:47",""
"Досуг","Игры","12-мар.-2022 11:18","12-мар.-2022 11:28",""
"Досуг","Игры","12-мар.-2022 09:23","12-мар.-2022 10:45",""
"Сон","","12-мар.-2022 08:23","12-мар.-2022 09:20","без груди, покормила в 1:47, даже ритуал провела"
"Досуг","Игры","12-мар.-2022 08:12","12-мар.-2022 08:14",""
"Досуг","Игры","12-мар.-2022 07:34","12-мар.-2022 07:34","капризы"
"Кормление","Правая Грудь","12-мар.-2022 07:08","12-мар.-2022 07:08",""
"Кормление","Левая Грудь","12-мар.-2022 07:08","12-мар.-2022 07:08",""
"Досуг","Игры","12-мар.-2022 05:01","12-мар.-2022 05:01",""
"Сон","","11-мар.-2022 19:13","12-мар.-2022 06:24","в кроватке"
"Досуг","Игры","11-мар.-2022 18:33","11-мар.-2022 18:34","дала грудь, больше не могу слушать ор"
"Досуг","Игры","11-мар.-2022 17:51","11-мар.-2022 17:51","капризы"
"Кормление","Еда","11-мар.-2022 17:10","11-мар.-2022 17:10",""
"Досуг","Игры","11-мар.-2022 15:44","11-мар.-2022 16:34",""
"Сон","","11-мар.-2022 15:11","11-мар.-2022 16:34",""
"Досуг","Игры","11-мар.-2022 15:09","11-мар.-2022 15:11",""
"Кормление","Еда","11-мар.-2022 14:36","11-мар.-2022 14:36","яблоко, горох, цв. капуста"
"Кормление","Правая Грудь","11-мар.-2022 13:58","11-мар.-2022 13:58",""
"Кормление","Левая Грудь","11-мар.-2022 13:44","11-мар.-2022 13:57",""
"Досуг","Купание","11-мар.-2022 13:31","11-мар.-2022 13:40",""
"Досуг","Игры","11-мар.-2022 12:49","11-мар.-2022 13:04",""
"Сон","","11-мар.-2022 12:10","11-мар.-2022 13:04",""
"Досуг","Игры","11-мар.-2022 11:59","11-мар.-2022 12:11","с грудью"
"Кормление","Еда","11-мар.-2022 11:07","11-мар.-2022 11:07","гречка, кабачок"
"Досуг","Игры","11-мар.-2022 11:00","11-мар.-2022 11:00","капризы"
"Кормление","Правая Грудь","11-мар.-2022 10:46","11-мар.-2022 10:46",""
"Кормление","Левая Грудь","11-мар.-2022 10:46","11-мар.-2022 10:46",""
"Сон","","11-мар.-2022 09:28","11-мар.-2022 09:53",""
"Досуг","Игры","11-мар.-2022 09:21","11-мар.-2022 09:45",""
"Сон","","11-мар.-2022 08:24","11-мар.-2022 09:15","грудь"
"Досуг","Игры","11-мар.-2022 08:07","11-мар.-2022 08:24","без груди во рту"
"Досуг","Игры","11-мар.-2022 07:37","11-мар.-2022 07:37","капризы"
"Кормление","Правая Грудь","11-мар.-2022 07:06","11-мар.-2022 07:06",""
"Кормление","Левая Грудь","11-мар.-2022 07:06","11-мар.-2022 07:06",""
"Сон","","10-мар.-2022 19:38","11-мар.-2022 06:19",""
"Досуг","Игры","10-мар.-2022 19:11","10-мар.-2022 19:38",""
"Здоровье","Лекарство","10-мар.-2022 18:43","10-мар.-2022 18:43","Зиртек"
"Кормление","Еда","10-мар.-2022 18:33","10-мар.-2022 18:33",""
"Сон","","10-мар.-2022 16:27","10-мар.-2022 16:58",""
"Кормление","Еда","10-мар.-2022 15:27","10-мар.-2022 15:27","гречка, бульон индейки, кабачок"
"Кормление","Правая Грудь","10-мар.-2022 14:36","10-мар.-2022 14:36",""
"Кормление","Левая Грудь","10-мар.-2022 14:36","10-мар.-2022 14:36",""
"Досуг","Купание","10-мар.-2022 14:15","10-мар.-2022 14:28",""
