"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Подгузники","Мокрый","29-дек.-2021 07:22","29-дек.-2021 07:22",""
"Сон","","29-дек.-2021 07:22","29-дек.-2021 08:14",""
"Кормление","Левая Грудь","29-дек.-2021 07:15","29-дек.-2021 07:22",""
"Кормление","Правая Грудь","29-дек.-2021 06:22","29-дек.-2021 06:34",""
"Кормление","Правая Грудь","29-дек.-2021 05:50","29-дек.-2021 06:21",""
"Сон","","29-дек.-2021 04:45","29-дек.-2021 05:50",""
"Кормление","Левая Грудь","29-дек.-2021 04:34","29-дек.-2021 05:50",""
"Сон","","29-дек.-2021 03:35","29-дек.-2021 04:33",""
"Кормление","Правая Грудь","29-дек.-2021 03:24","29-дек.-2021 04:33",""
"Сон","","29-дек.-2021 01:56","29-дек.-2021 03:23",""
"Кормление","Левая Грудь","29-дек.-2021 01:45","29-дек.-2021 03:23",""
"Сон","","29-дек.-2021 00:30","29-дек.-2021 01:44",""
"Кормление","Правая Грудь","29-дек.-2021 00:20","29-дек.-2021 01:44",""
"Сон","","28-дек.-2021 22:40","29-дек.-2021 00:17",""
"Кормление","Левая Грудь","28-дек.-2021 22:25","28-дек.-2021 22:40",""
"Кормление","Правая Грудь","28-дек.-2021 22:12","28-дек.-2021 22:22",""
"Сон","","28-дек.-2021 20:50","28-дек.-2021 22:10",""
"Кормление","Левая Грудь","28-дек.-2021 20:40","28-дек.-2021 20:50",""
"Сон","","28-дек.-2021 20:17","28-дек.-2021 20:39",""
"Кормление","Левая Грудь","28-дек.-2021 20:07","28-дек.-2021 20:17",""
"Кормление","Правая Грудь","28-дек.-2021 19:59","28-дек.-2021 20:07",""
"Кормление","Левая Грудь","28-дек.-2021 19:32","28-дек.-2021 19:39",""
"Кормление","Правая Грудь","28-дек.-2021 19:27","28-дек.-2021 19:32",""
"Подгузники","Мокрый","28-дек.-2021 19:27","28-дек.-2021 19:27",""
"Досуг","Купание","28-дек.-2021 19:15","28-дек.-2021 19:26",""
"Кормление","Правая Грудь","28-дек.-2021 19:02","28-дек.-2021 19:13",""
"Кормление","Левая Грудь","28-дек.-2021 18:03","28-дек.-2021 18:17",""
"Кормление","Правая Грудь","28-дек.-2021 17:59","28-дек.-2021 18:03",""
"Сон","","28-дек.-2021 16:40","28-дек.-2021 17:54",""
"Кормление","Правая Грудь","28-дек.-2021 16:34","28-дек.-2021 16:49",""
"Кормление","Левая Грудь","28-дек.-2021 16:29","28-дек.-2021 16:34",""
"Кормление","Левая Грудь","28-дек.-2021 15:20","28-дек.-2021 15:33",""
"Сон","","28-дек.-2021 14:41","28-дек.-2021 15:20",""
"Кормление","Правая Грудь","28-дек.-2021 14:36","28-дек.-2021 14:44",""
"Подгузники","Мокрый","28-дек.-2021 14:34","28-дек.-2021 14:34",""
"Кормление","Правая Грудь","28-дек.-2021 13:26","28-дек.-2021 13:33",""
"Кормление","Левая Грудь","28-дек.-2021 13:17","28-дек.-2021 13:26",""
"Кормление","Правая Грудь","28-дек.-2021 13:06","28-дек.-2021 13:17",""
"Кормление","Правая Грудь","28-дек.-2021 12:26","28-дек.-2021 12:32","уснул"
"Кормление","Левая Грудь","28-дек.-2021 11:26","28-дек.-2021 11:40","уснул"
"Подгузники","Мокрый","28-дек.-2021 11:02","28-дек.-2021 11:02",""
"Сон","","28-дек.-2021 11:02","28-дек.-2021 12:26","или до 13 спал, но это вряд ли"
"Кормление","Левая Грудь","28-дек.-2021 10:55","28-дек.-2021 11:02","срыгнул чуть-чуть"
"Кормление","Правая Грудь","28-дек.-2021 10:25","28-дек.-2021 10:37",""
"Кормление","Левая Грудь","28-дек.-2021 09:18","28-дек.-2021 09:40",""
"Кормление","Правая Грудь","28-дек.-2021 08:26","28-дек.-2021 08:43",""
"Сон","","28-дек.-2021 07:41","28-дек.-2021 09:14",""
"Кормление","Правая Грудь","28-дек.-2021 07:28","28-дек.-2021 07:41",""
"Подгузники","Мокрый","28-дек.-2021 07:22","28-дек.-2021 07:22",""
"Кормление","Правая Грудь","28-дек.-2021 06:16","28-дек.-2021 06:32",""
"Сон","","28-дек.-2021 05:23","28-дек.-2021 06:13",""
"Кормление","Левая Грудь","28-дек.-2021 05:18","28-дек.-2021 05:25",""
"Сон","","28-дек.-2021 03:54","28-дек.-2021 05:18",""
"Кормление","Левая Грудь","28-дек.-2021 03:48","28-дек.-2021 03:55",""
"Сон","","28-дек.-2021 03:10","28-дек.-2021 03:45",""
"Кормление","Правая Грудь","28-дек.-2021 03:05","28-дек.-2021 03:10",""
"Сон","","28-дек.-2021 01:29","28-дек.-2021 03:05",""
"Кормление","Левая Грудь","28-дек.-2021 01:24","28-дек.-2021 01:30",""
"Сон","","28-дек.-2021 00:10","28-дек.-2021 01:24",""
"Кормление","Правая Грудь","28-дек.-2021 00:09","28-дек.-2021 00:20",""
"Кормление","Левая Грудь","27-дек.-2021 23:45","28-дек.-2021 00:06",""
"Сон","","27-дек.-2021 21:18","27-дек.-2021 23:45",""
"Кормление","Левая Грудь","27-дек.-2021 21:11","27-дек.-2021 21:18",""
"Кормление","Правая Грудь","27-дек.-2021 20:52","27-дек.-2021 20:59",""
"Сон","","27-дек.-2021 20:18","27-дек.-2021 20:50",""
"Подгузники","Мокрый","27-дек.-2021 20:08","27-дек.-2021 20:08",""
"Кормление","Левая Грудь","27-дек.-2021 20:08","27-дек.-2021 20:18",""
"Кормление","Левая Грудь","27-дек.-2021 18:59","27-дек.-2021 19:07",""
"Кормление","Левая Грудь","27-дек.-2021 18:42","27-дек.-2021 18:48",""
"Кормление","Правая Грудь","27-дек.-2021 18:29","27-дек.-2021 18:41",""
"Сон","","27-дек.-2021 17:50","27-дек.-2021 18:17",""
"Подгузники","Мокрый","27-дек.-2021 17:07","27-дек.-2021 17:07",""
"Досуг","Купание","27-дек.-2021 16:49","27-дек.-2021 17:00","шампунь"
"Кормление","Правая Грудь","27-дек.-2021 16:20","27-дек.-2021 16:32",""
"Кормление","Левая Грудь","27-дек.-2021 16:02","27-дек.-2021 16:18",""
"Досуг","Игры","27-дек.-2021 15:49","27-дек.-2021 15:49","ногти стригли"
"Кормление","Правая Грудь","27-дек.-2021 15:49","27-дек.-2021 16:02",""
"Кормление","Левая Грудь","27-дек.-2021 15:34","27-дек.-2021 15:49",""
"Сон","","27-дек.-2021 13:30","27-дек.-2021 15:30",""
"Кормление","Правая Грудь","27-дек.-2021 13:25","27-дек.-2021 13:36",""
"Кормление","Правая Грудь","27-дек.-2021 12:43","27-дек.-2021 12:50",""
"Кормление","Левая Грудь","27-дек.-2021 12:32","27-дек.-2021 12:43",""
"Кормление","Правая Грудь","27-дек.-2021 12:20","27-дек.-2021 12:27",""
"Сон","","27-дек.-2021 11:07","27-дек.-2021 11:42",""
"Подгузники","Мокрый","27-дек.-2021 10:45","27-дек.-2021 10:45",""
"Кормление","Правая Грудь","27-дек.-2021 10:12","27-дек.-2021 10:28",""
"Кормление","Левая Грудь","27-дек.-2021 10:09","27-дек.-2021 10:12",""
"Здоровье","Лекарство","27-дек.-2021 10:00","27-дек.-2021 10:00","Виферон"
"Кормление","Левая Грудь","27-дек.-2021 09:51","27-дек.-2021 09:54","много срыгнул"
"Кормление","Левая Грудь","27-дек.-2021 09:44","27-дек.-2021 09:48",""
"Здоровье","Лекарство","27-дек.-2021 09:42","27-дек.-2021 09:42","Дюфалак 3,5"
"Кормление","Правая Грудь","27-дек.-2021 09:33","27-дек.-2021 09:44",""
"Сон","","27-дек.-2021 08:28","27-дек.-2021 09:15",""
"Кормление","Левая Грудь","27-дек.-2021 08:17","27-дек.-2021 08:23",""
"Кормление","Правая Грудь","27-дек.-2021 08:09","27-дек.-2021 08:16",""
"Кормление","Левая Грудь","27-дек.-2021 07:36","27-дек.-2021 07:48",""
"Сон","","27-дек.-2021 06:55","27-дек.-2021 07:16",""
"Кормление","Правая Грудь","27-дек.-2021 06:46","27-дек.-2021 07:05",""
"Сон","","27-дек.-2021 06:15","27-дек.-2021 06:45",""
"Сон","","27-дек.-2021 05:38","27-дек.-2021 06:10",""
"Кормление","Правая Грудь","27-дек.-2021 05:32","27-дек.-2021 05:37",""
"Сон","","27-дек.-2021 04:29","27-дек.-2021 05:32",""
"Кормление","Левая Грудь","27-дек.-2021 04:15","27-дек.-2021 04:28",""
"Кормление","Правая Грудь","27-дек.-2021 04:05","27-дек.-2021 04:15",""
"Сон","","27-дек.-2021 02:55","27-дек.-2021 04:13",""
"Кормление","Правая Грудь","27-дек.-2021 02:50","27-дек.-2021 02:55",""
"Сон","","27-дек.-2021 02:00","27-дек.-2021 02:50",""
"Кормление","Левая Грудь","27-дек.-2021 01:51","27-дек.-2021 01:57",""
"Сон","","27-дек.-2021 00:13","27-дек.-2021 01:51",""
"Кормление","Правая Грудь","27-дек.-2021 00:07","27-дек.-2021 00:12",""
"Сон","","26-дек.-2021 22:45","27-дек.-2021 00:07",""
"Сон","","26-дек.-2021 20:26","26-дек.-2021 22:39",""
"Кормление","Правая Грудь","26-дек.-2021 20:18","26-дек.-2021 20:26",""
"Сон","","26-дек.-2021 19:41","26-дек.-2021 20:16",""
"Кормление","Левая Грудь","26-дек.-2021 19:35","26-дек.-2021 19:41",""
"Подгузники","Грязный","26-дек.-2021 19:15","26-дек.-2021 19:15",""
"Кормление","Правая Грудь","26-дек.-2021 18:17","26-дек.-2021 18:32","прав, лев"
"Кормление","Левая Грудь","26-дек.-2021 18:08","26-дек.-2021 18:15",""
"Кормление","Левая Грудь","26-дек.-2021 17:41","26-дек.-2021 17:46",""
"Кормление","Правая Грудь","26-дек.-2021 17:33","26-дек.-2021 17:41",""
"Сон","","26-дек.-2021 16:43","26-дек.-2021 17:28",""
"Кормление","Правая Грудь","26-дек.-2021 16:37","26-дек.-2021 16:42",""
"Кормление","Левая Грудь","26-дек.-2021 16:31","26-дек.-2021 16:37",""
"Подгузники","Мокрый","26-дек.-2021 16:23","26-дек.-2021 16:23",""
"Кормление","Правая Грудь","26-дек.-2021 15:05","26-дек.-2021 15:10",""
"Кормление","Левая Грудь","26-дек.-2021 15:00","26-дек.-2021 15:04",""
"Кормление","Левая Грудь","26-дек.-2021 14:42","26-дек.-2021 14:49",""
"Кормление","Правая Грудь","26-дек.-2021 14:29","26-дек.-2021 14:42",""
"Сон","","26-дек.-2021 13:36","26-дек.-2021 14:27",""
"Кормление","Левая Грудь","26-дек.-2021 13:32","26-дек.-2021 13:36",""
"Подгузники","Мокрый","26-дек.-2021 12:47","26-дек.-2021 12:47",""
"Кормление","Левая Грудь","26-дек.-2021 12:01","26-дек.-2021 12:03",""
"Кормление","Правая Грудь","26-дек.-2021 11:59","26-дек.-2021 12:01",""
"Кормление","Левая Грудь","26-дек.-2021 11:56","26-дек.-2021 11:59",""
"Кормление","Правая Грудь","26-дек.-2021 11:52","26-дек.-2021 11:56",""
"Здоровье","Лекарство","26-дек.-2021 11:48","26-дек.-2021 11:48","Виферон свеча"
"Кормление","Левая Грудь","26-дек.-2021 11:47","26-дек.-2021 11:51",""
"Кормление","Правая Грудь","26-дек.-2021 11:42","26-дек.-2021 11:47",""
"Сон","","26-дек.-2021 10:37","26-дек.-2021 11:33",""
"Досуг","Игры","26-дек.-2021 10:36","26-дек.-2021 10:36","1 27 начала уклад, су - 12, хорошо"
"Кормление","Левая Грудь","26-дек.-2021 10:34","26-дек.-2021 10:35",""
"Кормление","Левая Грудь","26-дек.-2021 10:27","26-дек.-2021 10:32",""
"Подгузники","Мокрый","26-дек.-2021 10:23","26-дек.-2021 10:23",""
"Кормление","Правая Грудь","26-дек.-2021 10:22","26-дек.-2021 10:27",""
"Здоровье","Лекарство","26-дек.-2021 09:30","26-дек.-2021 09:30","Дюфалак 3,5"
"Кормление","Правая Грудь","26-дек.-2021 09:12","26-дек.-2021 09:54",""
"Кормление","Левая Грудь","26-дек.-2021 09:06","26-дек.-2021 09:11",""
"Сон","","26-дек.-2021 08:05","26-дек.-2021 08:57",""
"Подгузники","Грязный","26-дек.-2021 08:04","26-дек.-2021 08:04",""
"Кормление","Левая Грудь","26-дек.-2021 07:58","26-дек.-2021 08:04",""
"Кормление","Правая Грудь","26-дек.-2021 07:15","26-дек.-2021 07:16","мычал"
"Кормление","Левая Грудь","26-дек.-2021 07:09","26-дек.-2021 07:14","мычал"
"Кормление","Правая Грудь","26-дек.-2021 06:40","26-дек.-2021 06:54",""
"Сон","","26-дек.-2021 05:30","26-дек.-2021 06:38",""
"Кормление","Левая Грудь","26-дек.-2021 05:22","26-дек.-2021 05:30",""
"Сон","","26-дек.-2021 04:14","26-дек.-2021 05:22",""
"Подгузники","Мокрый","26-дек.-2021 03:56","26-дек.-2021 03:56",""
"Кормление","Левая Грудь","26-дек.-2021 03:54","26-дек.-2021 04:14",""
"Кормление","Правая Грудь","26-дек.-2021 03:18","26-дек.-2021 03:24",""
"Сон","","26-дек.-2021 03:18","26-дек.-2021 03:54",""
"Кормление","Левая Грудь","26-дек.-2021 03:15","26-дек.-2021 03:18",""
"Сон","","26-дек.-2021 01:40","26-дек.-2021 03:14",""
"Кормление","Правая Грудь","26-дек.-2021 00:55","26-дек.-2021 01:02",""
"Сон","","26-дек.-2021 00:55","26-дек.-2021 01:35",""
"Сон","","25-дек.-2021 22:42","26-дек.-2021 00:51",""
"Кормление","Левая Грудь","25-дек.-2021 22:37","25-дек.-2021 22:46",""
"Сон","","25-дек.-2021 21:27","25-дек.-2021 22:37",""
"Кормление","Правая Грудь","25-дек.-2021 21:18","25-дек.-2021 21:27",""
"Кормление","Левая Грудь","25-дек.-2021 21:08","25-дек.-2021 21:18",""
"Подгузники","Грязный","25-дек.-2021 20:47","25-дек.-2021 20:47",""
"Подгузники","Мокрый","25-дек.-2021 20:43","25-дек.-2021 20:43",""
"Кормление","Правая Грудь","25-дек.-2021 19:53","25-дек.-2021 19:55",""
"Кормление","Левая Грудь","25-дек.-2021 19:52","25-дек.-2021 19:53",""
"Кормление","Правая Грудь","25-дек.-2021 19:50","25-дек.-2021 19:52",""
"Кормление","Левая Грудь","25-дек.-2021 19:48","25-дек.-2021 19:50",""
"Кормление","Правая Грудь","25-дек.-2021 19:46","25-дек.-2021 19:48",""
"Кормление","Левая Грудь","25-дек.-2021 19:44","25-дек.-2021 19:46",""
"Кормление","Правая Грудь","25-дек.-2021 19:41","25-дек.-2021 19:43",""
"Кормление","Левая Грудь","25-дек.-2021 19:37","25-дек.-2021 19:41",""
"Кормление","Правая Грудь","25-дек.-2021 19:34","25-дек.-2021 19:37",""
"Кормление","Левая Грудь","25-дек.-2021 19:29","25-дек.-2021 19:34","мычал, не хватило"
"Кормление","Правая Грудь","25-дек.-2021 19:21","25-дек.-2021 19:28",""
"Сон","","25-дек.-2021 18:30","25-дек.-2021 19:12",""
"Подгузники","Мокрый","25-дек.-2021 18:25","25-дек.-2021 18:25",""
"Кормление","Левая Грудь","25-дек.-2021 18:25","25-дек.-2021 18:30",""
"Кормление","Правая Грудь","25-дек.-2021 17:20","25-дек.-2021 17:26","срыгнул 2 раза"
"Кормление","Левая Грудь","25-дек.-2021 17:08","25-дек.-2021 17:19",""
"Сон","","25-дек.-2021 16:05","25-дек.-2021 16:43",""
"Подгузники","Мокрый","25-дек.-2021 15:59","25-дек.-2021 15:59",""
"Кормление","Правая Грудь","25-дек.-2021 15:59","25-дек.-2021 16:42",""
"Кормление","Бутылочка","25-дек.-2021 14:40","25-дек.-2021 14:46","40мл, смесь, срыгнул опять, шприц"
"Кормление","Правая Грудь","25-дек.-2021 14:32","25-дек.-2021 14:35","срыгивал больше стол ложки"
"Кормление","Левая Грудь","25-дек.-2021 14:27","25-дек.-2021 14:32",""
"Кормление","Правая Грудь","25-дек.-2021 14:20","25-дек.-2021 14:27",""
"Кормление","Левая Грудь","25-дек.-2021 12:43","25-дек.-2021 13:06",""
"Кормление","Правая Грудь","25-дек.-2021 12:21","25-дек.-2021 12:29","уснул"
"Сон","","25-дек.-2021 11:46","25-дек.-2021 14:19","33 мин проснулся, уложила обратно, 1 50 мало, увеличение до 2-х часов вб"
"Подгузники","Грязный","25-дек.-2021 11:42","25-дек.-2021 11:42",""
"Кормление","Правая Грудь","25-дек.-2021 11:42","25-дек.-2021 11:46",""
"Досуг","Игры","25-дек.-2021 11:21","25-дек.-2021 11:42","пу"
"Кормление","Бутылочка","25-дек.-2021 10:40","25-дек.-2021 10:43","35мл, смесь, шприц"
"Кормление","Левая Грудь","25-дек.-2021 10:30","25-дек.-2021 10:32",""
"Кормление","Правая Грудь","25-дек.-2021 10:25","25-дек.-2021 10:29",""
"Кормление","Левая Грудь","25-дек.-2021 10:12","25-дек.-2021 10:21",""
"Кормление","Правая Грудь","25-дек.-2021 10:04","25-дек.-2021 10:12",""
"Кормление","Левая Грудь","25-дек.-2021 09:13","25-дек.-2021 09:28","уснул"
"Сон","","25-дек.-2021 08:18","25-дек.-2021 09:53",""
"Кормление","Правая Грудь","25-дек.-2021 08:08","25-дек.-2021 08:10",""
"Кормление","Левая Грудь","25-дек.-2021 08:00","25-дек.-2021 08:04",""
"Подгузники","Мокрый","25-дек.-2021 07:56","25-дек.-2021 07:56",""
"Кормление","Правая Грудь","25-дек.-2021 07:55","25-дек.-2021 08:00",""
"Кормление","Левая Грудь","25-дек.-2021 07:05","25-дек.-2021 07:18",""
"Кормление","Правая Грудь","25-дек.-2021 06:56","25-дек.-2021 07:04",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:55",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:52","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:52",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","На животе","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:51","25-дек.-2021 06:51",""
"Досуг","Прогулка","25-дек.-2021 06:50","25-дек.-2021 06:51",""
"Сон","","25-дек.-2021 05:41","25-дек.-2021 06:56","не спал с 4 30"
"Кормление","Левая Грудь","25-дек.-2021 05:24","25-дек.-2021 05:41",""
"Подгузники","Мокрый","25-дек.-2021 05:15","25-дек.-2021 05:15",""
"Кормление","Правая Грудь","25-дек.-2021 05:13","25-дек.-2021 05:23",""
"Кормление","Левая Грудь","25-дек.-2021 04:37","25-дек.-2021 05:07",""
"Кормление","Правая Грудь","25-дек.-2021 04:34","25-дек.-2021 04:37",""
"Сон","","25-дек.-2021 03:20","25-дек.-2021 04:34",""
"Сон","","25-дек.-2021 01:50","25-дек.-2021 03:15",""
"Кормление","Левая Грудь","25-дек.-2021 01:43","25-дек.-2021 01:50",""
"Сон","","25-дек.-2021 00:30","25-дек.-2021 01:42",""
"Кормление","Правая Грудь","25-дек.-2021 00:24","25-дек.-2021 00:30",""
"Сон","","24-дек.-2021 22:21","25-дек.-2021 00:24",""
"Кормление","Левая Грудь","24-дек.-2021 22:13","24-дек.-2021 22:20","уснул"
"Кормление","Правая Грудь","24-дек.-2021 22:03","24-дек.-2021 22:13",""
"Кормление","Левая Грудь","24-дек.-2021 21:57","24-дек.-2021 21:59",""
"Сон","","24-дек.-2021 21:12","24-дек.-2021 21:56",""
"Кормление","Левая Грудь","24-дек.-2021 21:01","24-дек.-2021 21:12",""
"Подгузники","Мокрый","24-дек.-2021 20:56","24-дек.-2021 20:56",""
"Кормление","Правая Грудь","24-дек.-2021 20:55","24-дек.-2021 21:01",""
"Подгузники","Грязный","24-дек.-2021 19:56","24-дек.-2021 19:56",""
"Кормление","Правая Грудь","24-дек.-2021 19:51","24-дек.-2021 19:57",""
"Кормление","Левая Грудь","24-дек.-2021 19:43","24-дек.-2021 19:51",""
"Кормление","Правая Грудь","24-дек.-2021 19:33","24-дек.-2021 19:41",""
"Кормление","Левая Грудь","24-дек.-2021 19:26","24-дек.-2021 19:33",""
"Сон","","24-дек.-2021 18:43","24-дек.-2021 19:22",""
"Досуг","Игры","24-дек.-2021 16:59","24-дек.-2021 17:05",""
"Сон","","24-дек.-2021 16:35","24-дек.-2021 17:05",""
"Кормление","Левая Грудь","24-дек.-2021 16:21","24-дек.-2021 16:35","уснул"
"Кормление","Правая Грудь","24-дек.-2021 16:17","24-дек.-2021 16:21",""
"Подгузники","Грязный","24-дек.-2021 16:15","24-дек.-2021 16:15",""
"Кормление","Левая Грудь","24-дек.-2021 15:15","24-дек.-2021 15:22","срыгнул"
"Кормление","Правая Грудь","24-дек.-2021 15:06","24-дек.-2021 15:12",""
"Кормление","Левая Грудь","24-дек.-2021 14:59","24-дек.-2021 15:05",""
"Кормление","Правая Грудь","24-дек.-2021 13:53","24-дек.-2021 14:09","уснул"
"Досуг","Игры","24-дек.-2021 13:38","24-дек.-2021 13:38","проснулся, продлевала"
"Кормление","Левая Грудь","24-дек.-2021 13:38","24-дек.-2021 13:53","проснулся, продлевала"
"Сон","","24-дек.-2021 13:00","24-дек.-2021 14:56",""
"Кормление","Правая Грудь","24-дек.-2021 12:53","24-дек.-2021 13:13","уснул"
"Подгузники","Мокрый","24-дек.-2021 12:19","24-дек.-2021 12:19",""
"Кормление","Бутылочка","24-дек.-2021 12:13","24-дек.-2021 12:13","75мл, смесь, шприц, срыгнул стол ложку"
"Кормление","Левая Грудь","24-дек.-2021 11:55","24-дек.-2021 11:57",""
"Кормление","Правая Грудь","24-дек.-2021 11:52","24-дек.-2021 11:55",""
"Кормление","Левая Грудь","24-дек.-2021 11:46","24-дек.-2021 11:52","мычал, видно не хватило"
"Кормление","Правая Грудь","24-дек.-2021 11:38","24-дек.-2021 11:46",""
"Сон","","24-дек.-2021 10:36","24-дек.-2021 11:22",""
"Кормление","Левая Грудь","24-дек.-2021 10:23","24-дек.-2021 10:42","уснул"
"Подгузники","Мокрый","24-дек.-2021 10:15","24-дек.-2021 10:15",""
"Кормление","Правая Грудь","24-дек.-2021 10:13","24-дек.-2021 10:23",""
"Здоровье","Лекарство","24-дек.-2021 09:31","24-дек.-2021 09:31","Дюфалак 4"
"Кормление","Правая Грудь","24-дек.-2021 09:25","24-дек.-2021 09:45",""
"Кормление","Левая Грудь","24-дек.-2021 09:16","24-дек.-2021 09:25",""
"Сон","","24-дек.-2021 07:51","24-дек.-2021 09:07",""
"Кормление","Правая Грудь","24-дек.-2021 07:45","24-дек.-2021 07:50",""
"Кормление","Правая Грудь","24-дек.-2021 07:40","24-дек.-2021 07:45",""
"Кормление","Левая Грудь","24-дек.-2021 07:36","24-дек.-2021 07:39",""
"Подгузники","Мокрый","24-дек.-2021 07:32","24-дек.-2021 07:32",""
"Кормление","Правая Грудь","24-дек.-2021 06:34","24-дек.-2021 07:02",""
"Кормление","Левая Грудь","24-дек.-2021 06:32","24-дек.-2021 06:34",""
"Сон","","24-дек.-2021 04:37","24-дек.-2021 06:23",""
"Кормление","Левая Грудь","24-дек.-2021 04:33","24-дек.-2021 04:40",""
"Сон","","24-дек.-2021 02:23","24-дек.-2021 04:32",""
"Подгузники","Грязный","24-дек.-2021 02:11","24-дек.-2021 02:11",""
"Кормление","Правая Грудь","24-дек.-2021 02:11","24-дек.-2021 02:23",""
"Кормление","Левая Грудь","24-дек.-2021 01:54","24-дек.-2021 02:00",""
"Сон","","24-дек.-2021 01:05","24-дек.-2021 01:54","какать хотел, покакал"
"Кормление","Левая Грудь","24-дек.-2021 00:50","24-дек.-2021 01:00",""
"Сон","","23-дек.-2021 21:11","24-дек.-2021 00:50","не было сна до 20 27 глубокого"
"Кормление","Правая Грудь","23-дек.-2021 20:40","23-дек.-2021 20:52","уснул"
"Кормление","Левая Грудь","23-дек.-2021 19:32","23-дек.-2021 19:50",""
"Подгузники","Мокрый","23-дек.-2021 19:20","23-дек.-2021 19:20",""
"Кормление","Правая Грудь","23-дек.-2021 19:17","23-дек.-2021 19:30",""
"Подгузники","Грязный","23-дек.-2021 18:38","23-дек.-2021 18:38",""
"Кормление","Правая Грудь","23-дек.-2021 18:31","23-дек.-2021 18:38",""
"Кормление","Левая Грудь","23-дек.-2021 18:16","23-дек.-2021 18:30",""
"Сон","","23-дек.-2021 17:07","23-дек.-2021 17:28",""
"Кормление","Правая Грудь","23-дек.-2021 16:53","23-дек.-2021 17:07",""
"Кормление","Левая Грудь","23-дек.-2021 16:49","23-дек.-2021 16:53",""
"Кормление","Левая Грудь","23-дек.-2021 16:12","23-дек.-2021 16:20",""
"Кормление","Правая Грудь","23-дек.-2021 16:07","23-дек.-2021 16:12",""
"Кормление","Левая Грудь","23-дек.-2021 15:40","23-дек.-2021 15:48",""
"Кормление","Правая Грудь","23-дек.-2021 15:32","23-дек.-2021 15:39",""
"Сон","","23-дек.-2021 14:59","23-дек.-2021 15:27",""
"Кормление","Левая Грудь","23-дек.-2021 14:46","23-дек.-2021 14:59",""
"Кормление","Правая Грудь","23-дек.-2021 14:13","23-дек.-2021 14:22",""
"Сон","","23-дек.-2021 12:42","23-дек.-2021 14:09",""
"Кормление","Правая Грудь","23-дек.-2021 12:35","23-дек.-2021 12:42",""
"Подгузники","Грязный","23-дек.-2021 12:34","23-дек.-2021 12:34",""
"Кормление","Еда","23-дек.-2021 11:45","23-дек.-2021 11:45","смесь с нормобакт L"
"Кормление","Правая Грудь","23-дек.-2021 11:39","23-дек.-2021 12:05",""
"Кормление","Левая Грудь","23-дек.-2021 11:24","23-дек.-2021 11:39",""
"Кормление","Левая Грудь","23-дек.-2021 11:06","23-дек.-2021 11:16",""
"Кормление","Правая Грудь","23-дек.-2021 10:53","23-дек.-2021 11:06",""
"Кормление","Левая Грудь","23-дек.-2021 09:57","23-дек.-2021 10:06",""
"Кормление","Правая Грудь","23-дек.-2021 09:46","23-дек.-2021 09:56",""
"Сон","","23-дек.-2021 08:44","23-дек.-2021 10:40",""
"Кормление","Правая Грудь","23-дек.-2021 08:39","23-дек.-2021 08:44",""
"Кормление","Левая Грудь","23-дек.-2021 08:32","23-дек.-2021 08:38",""
"Подгузники","Мокрый","23-дек.-2021 08:22","23-дек.-2021 08:22",""
"Кормление","Левая Грудь","23-дек.-2021 07:31","23-дек.-2021 07:54",""
"Здоровье","Лекарство","23-дек.-2021 07:22","23-дек.-2021 07:22","Дюфалак 4"
"Кормление","Правая Грудь","23-дек.-2021 07:21","23-дек.-2021 07:31",""
"Сон","","23-дек.-2021 06:02","23-дек.-2021 07:10",""
"Кормление","Левая Грудь","23-дек.-2021 05:42","23-дек.-2021 05:47",""
"Кормление","Правая Грудь","23-дек.-2021 05:35","23-дек.-2021 05:41",""
"Сон","","23-дек.-2021 04:22","23-дек.-2021 05:34",""
"Кормление","Левая Грудь","23-дек.-2021 04:22","23-дек.-2021 04:22",""
"Кормление","Правая Грудь","23-дек.-2021 04:01","23-дек.-2021 04:06",""
"Кормление","Правая Грудь","23-дек.-2021 03:47","23-дек.-2021 03:58",""
